filename,width,height,class,xmin,ymin,xmax,ymax
IMG_0419.jpg.jpg,4032,3024,NoMask,1641,726,2982,1523
IMG_0420.jpg.jpg,4032,3024,NoMask,1632,1270,3141,2195
IMG_0421.jpg.jpg,4032,3024,NoMask,1266,1354,2563,2189
IMG_0424.jpg.jpg,4032,3024,NoMask,1963,1104,2966,1944
IMG_0426.jpg.jpg,4032,3024,NoMask,1957,1701,3041,2332
IMG_0427.jpg.jpg,4032,3024,NoMask,2057,1448,2907,2073
IMG_0428.jpg.jpg,4032,3024,NoMask,1525,1501,2616,2142
IMG_0430.jpg.jpg,4032,3024,NoMask,1963,1267,3057,2201
IMG_0431.jpg.jpg,4032,3024,NoMask,1835,1317,2972,2229
IMG_0433.jpg.jpg,4032,3024,NoMask,1825,1376,2966,2507
IMG_0435.jpg.jpg,4032,3024,NoMask,1804,1360,2716,1954
IMG_0437.jpg.jpg,4032,3024,Mask,1554,1429,2957,2382
IMG_0439.jpg.jpg,4032,3024,Mask,1482,1407,3063,2401
IMG_0442.jpg.jpg,4032,3024,Mask,1532,1457,2985,2460
IMG_0444.jpg.jpg,4032,3024,Mask,2447,1079,3932,2364
IMG_0447.jpg.jpg,4032,3024,NoMask,1954,1373,3097,2198
